date	depth	bact	picop	nanozoo	nanocms
23/04/07	1	13.90098	6.291831	NA	31.6477
23/04/07	10	14.49108	5.619725	NA	26.7148
23/04/07	25	15.57876	5.301124	NA	26.5524
23/04/07	50	15.77524	5.138425	NA	24.3194
30/04/07	1	37.42138	19.568013	NA	50.547
30/04/07	10	34.32764	17.876464	NA	73.7296
30/04/07	25	25.30124	10.651437	NA	108.1787
30/04/07	50	24.69614	21.375047	NA	89.3606
08/05/07	1	36.21908	57.89636	NA	43.6653
08/05/07	10	35.90084	48.16372	NA	67.5178
08/05/07	25	33.01868	20.350441	NA	130.5696
08/05/07	50	29.13608	32.241303	NA	141.288
21/05/07	1	27.3498	88.045471	NA	21.9037
21/05/07	10	26.60744	86.546482	NA	21.2947
21/05/07	25	20.8809	10.751814	NA	4.0803
21/05/07	50	20.74516	8.454881	NA	3.1871
04/06/07	1	42.87718	11.048728	NA	48.923
04/06/07	10	34.34248	13.03712	NA	58.4031
04/06/07	25	28.58548	6.484217	NA	21.924
04/06/07	50	22.84444	5.358513	NA	15.2047
11/06/07	1	19.3607	19.256992	NA	34.8145
11/06/07	10	29.05384	26.881999	NA	44.1525
11/06/07	25	14.89104	9.283602	NA	33.8604
11/06/07	50	13.3388	7.102672	NA	31.8101
18/06/07	2	15.07912	32.530202	NA	72.2883
25/06/07	1	24.85706	24.180144	NA	35.3017
25/06/07	10	25.50592	26.994156	NA	41.8992
25/06/07	25	13.08904	1.350073	NA	10.6981
25/06/07	50	14.19182	1.488636	NA	8.0591
03/07/07	1	19.65408	17.595592	NA	43.7668
03/07/07	10	18.7393	18.23895	NA	47.4208
03/07/07	25	13.23924	2.015128	NA	12.6875
03/07/07	50	12.92672	1.961972	NA	11.4086
09/07/07	1	17.22678	23.328175	NA	28.3997
09/07/07	10	25.86884	25.581975	NA	43.848
09/07/07	25	13.25804	1.236144	NA	7.8967
09/07/07	50	11.92464	0.972524	NA	4.1818
16/07/07	1	12.16076	0.903461	NA	14.3724
16/07/07	10	11.52506	0.907671	NA	18.2091
16/07/07	25	10.27474	0.584902	NA	7.5922
16/07/07	50	10.73466	0.335115	NA	5.075
23/07/07	1	14.33694	10.764534	13.195	36.8648
23/07/07	10	13.84352	8.294225	16.646	31.3838
23/07/07	25	12.96664	1.752039	22.3909	15.834
23/07/07	50	19.37672	6.002068	20.9496	29.0087
06/08/07	1	28.95278	16.424202	19.6707	79.373
06/08/07	10	25.37126	15.491044	21.3759	76.9979
06/08/07	25	18.2627	9.73072	21.7819	29.0899
06/08/07	50	23.18368	13.769296	18.5339	32.1146
13/08/07	1	33.64764	27.042483	12.992	62.7473
13/08/07	10	28.42974	20.861999	11.0432	47.4411
13/08/07	25	17.57314	7.78732	6.9832	18.3918
13/08/07	50	17.7204	10.375625	8.1403	12.586
20/08/07	1	16.02448	23.714681	10.2921	22.8578
20/08/07	10	14.32438	19.483797	8.8305	17.6204
20/08/07	25	13.30286	9.205643	9.2771	10.4139
20/08/07	50	16.82454	8.218992	9.6019	15.8746
28/08/07	1	24.5115	20.769527	7.7343	35.3017
28/08/07	10	23.0238	15.107369	7.8967	28.2779
28/08/07	25	19.2647	5.816792	7.5313	12.3221
28/08/07	50	19.8574	7.986393	7.5719	16.3415
03/09/07	1	22.69182	11.324367	10.9011	37.0881
03/09/07	10	20.08938	8.33909	13.804	27.405
03/09/07	25	16.28478	2.209607	15.2453	8.729
03/09/07	50	16.8113	7.619958	11.4695	14.21
10/09/07	1	19.90244	18.962238	2.9841	27.5268
10/09/07	10	21.5165	17.860013	5.684	27.3847
10/09/07	25	26.90468	14.96634	5.5013	26.6539
10/09/07	50	22.36698	3.630911	12.383	14.2506
17/09/07	1	22.93328	17.681842	13.804	16.1588
17/09/07	10	19.50398	7.783046	12.0988	9.744
17/09/07	25	17.8644	2.601472	17.2144	9.1553
17/09/07	50	17.30244	2.643299	18.3106	7.8561
02/10/07	1	16.14914	8.72511	13.2762	19.7722
02/10/07	10	15.87798	9.068137	12.9717	19.894
02/10/07	25	15.99922	8.834654	12.0176	19.0617
02/10/07	50	16.03124	8.847596	12.6672	18.473
25/10/07	1	13.4927	7.529993	6.6381	6.8614
25/10/07	10	13.53816	7.702113	6.8411	6.6178
25/10/07	25	13.61326	7.718798	6.3539	7.0441
25/10/07	50	13.9081	7.946792	6.6787	8.4854
30/10/07	1	13.78634	8.106961	7.2877	10.4139
30/10/07	10	12.88706	8.386288	7.2268	9.4192
30/10/07	25	11.88788	8.152	6.9426	9.2365
30/10/07	50	13.79706	9.598885	6.8614	10.15
05/11/07	1	15.76712	12.617773	7.8561	12.1597
05/11/07	10	14.87844	12.913369	8.7696	11.774
05/11/07	25	14.91294	12.919288	7.7952	11.5304
05/11/07	50	15.03972	13.409595	7.8764	11.6928
12/11/07	1	16.00702	13.484176	6.3742	8.9523
12/11/07	10	15.9531	13.60196	6.3539	9.4598
12/11/07	25	15.56588	13.543019	6.1306	8.6478
12/11/07	50	14.88266	11.72075	8.729	8.5666
22/11/07	1	12.76812	8.236393	13.9867	7.2471
22/11/07	10	12.53336	8.239868	14.3115	5.8667
22/11/07	25	12.60492	8.268438	14.2709	5.7449
22/11/07	50	12.13012	7.934449	14.5348	6.5975
26/11/07	1	10.6842	7.528055	12.4236	7.0238
26/11/07	10	10.6213	7.484723	11.8552	6.2321
26/11/07	25	10.44314	7.382174	12.3424	6.0088
26/11/07	50	11.00642	7.312715	10.6575	6.1915
11/12/07	1	12.09052	7.07038	5.6637	6.1712
11/12/07	10	11.66418	6.891525	4.8111	5.5622
11/12/07	25	11.76192	6.105293	4.872	5.1765
11/12/07	50	11.23412	9.033093	5.887	9.1959
28/01/08	1	9.4754	15.320342	7.2674	18.6354
28/01/08	10	8.80356	13.217009	6.0291	15.1235
28/01/08	25	8.45658	5.600148	5.1765	5.9073
28/01/08	50	9.52848	8.596444	6.5975	6.7599
27/02/08	1	11.23026	15.427781	5.075	9.7846
27/02/08	10	10.19984	12.830069	4.1412	10.1094
27/02/08	25	8.77212	12.923859	4.5878	9.5816
27/02/08	50	9.30396	9.774925	4.7705	8.2621
05/03/08	1	6.94322	7.493001	6.1509	16.4836
05/03/08	10	7.44196	8.97204	7.4907	14.21
05/03/08	25	6.55398	6.297563	6.7193	9.9876
05/03/08	50	7.07674	3.735167	9.4598	5.5825
17/03/08	1	12.56488	9.214954	10.7793	12.3627
17/03/08	10	12.73132	12.069568	11.571	21.1526
17/03/08	25	12.09978	12.323004	9.0538	21.5789
17/03/08	50	12.26466	12.267914	9.4395	24.8878
07/04/08	1	9.29664	6.142064	17.5595	32.4597
07/04/08	10	6.9811	4.611815	13.398	16.6866
07/04/08	25	6.70538	4.001502	14.5754	16.9302
07/04/08	50	6.23818	3.198069	13.0529	14.4739
21/04/08	1	12.718	6.707012	7.8764	13.3168
21/04/08	10	12.28092	6.682386	7.511	12.7078
21/04/08	25	12.1888	7.148288	8.3636	12.3221
21/04/08	50	12.43464	NA	8.0185	11.0838
28/04/08	1	20.80974	108.890882	30.4703	158.4821
28/04/08	10	20.74414	109.832211	32.886	156.8378
28/04/08	25	20.38372	110.019033	39.4835	162.2579
06/05/08	1	21.6875	12.570389	13.4386	30.7139
06/05/08	10	22.09742	13.017979	13.2762	33.5559
06/05/08	25	15.47564	3.564051	18.27	23.1014
06/05/08	50	14.94774	3.122186	17.6813	21.2135
12/05/08	1	12.33802	13.626809	0	34.2055
12/05/08	10	12.3095	3.305384	0	26.999
12/05/08	25	11.17154	2.152209	0	17.864
12/05/08	50	12.22404	5.53997	19.6098	36.1137
19/05/08	1	14.4879	12.178202	19.1835	65.7517
19/05/08	10	14.24818	12.02483	24.7863	65.975
19/05/08	25	15.2492	6.486429	23.7104	60.9609
19/05/08	50	19.87246	3.767836	33.8401	59.885
02/06/08	1	20.27178	27.463444	37.555	104.8495
02/06/08	10	11.76158	18.103158	29.7801	59.885
02/06/08	25	10.14948	12.008711	95.6536	47.4614
02/06/08	50	12.09396	2.102836	68.208	94.5574
09/06/08	1	21.37038	49.353765	34.7333	80.2256
09/06/08	10	19.63498	34.97073	40.1534	86.1532
09/06/08	25	16.78168	7.67513	34.2258	33.4138
09/06/08	50	17.28064	2.573544	37.7783	10.2109
16/06/08	1	22.27566	9.497346	20.1782	124.6623
16/06/08	10	22.84786	9.907486	19.3256	71.1109
16/06/08	25	15.97284	2.935956	27.9937	18.5745
16/06/08	50	19.06642	1.958463	41.0263	37.1287
23/06/08	1	17.23856	8.330872	22.2082	24.1164
23/06/08	10	16.06562	8.030796	26.2682	24.4818
23/06/08	25	19.80602	1.24729	41.0263	12.7484
23/06/08	50	22.01452	0.258083	17.3159	6.9629
30/06/08	1	45.422	62.064589	17.0723	23.0811
30/06/08	10	41.98606	41.960129	24.2788	21.2135
30/06/08	25	24.98488	0.160725	21.8834	3.4307
30/06/08	50	24.5998	0.093489	20.9902	1.7255
14/07/08	1	27.02822	6.098266	25.1923	36.6618
14/07/08	10	27.67394	6.065133	29.5771	35.8295
14/07/08	25	22.40704	0.936222	10.0282	5.7043
14/07/08	50	17.72318	0.956213	11.5507	3.7352
21/07/08	1	26.78192	2.572551	46.2637	21.4368
21/07/08	10	28.264	4.217895	42.7518	20.8481
21/07/08	25	16.1239	0.352098	12.6875	1.8067
21/07/08	50	19.60074	0.354448	13.0732	1.4616
28/07/08	1	9.47098	5.183343	20.909	29.3132
28/07/08	10	8.49988	5.170229	19.1226	24.3803
28/07/08	25	14.66236	1.331334	26.2276	8.729
28/07/08	50	17.21302	0.995333	48.923	7.917
20/08/08	1	17.54602	8.776948	10.6778	48.0298
20/08/08	10	13.00976	3.223939	7.0441	33.2311
20/08/08	25	11.27804	1.309305	10.6981	32.1349
20/08/08	50	14.21092	1.018839	11.2462	32.7845
26/08/08	1	23.44518	19.410633	21.2338	46.7915
26/08/08	10	18.72354	18.450625	23.2435	37.0272
26/08/08	25	11.49528	1.977052	26.0043	3.4307
26/08/08	50	14.3122	1.096887	23.2638	2.6999
02/09/08	1	26.86762	0.541343	9.2162	9.0538
02/09/08	10	25.7824	0.630407	9.9876	10.4748
02/09/08	25	20.41304	0.943304	17.7422	6.7396
02/09/08	50	20.58916	0.745115	18.2091	4.1818
22/09/08	1	21.32736	45.876873	31.0184	52.5364
22/09/08	10	20.4209	45.152633	31.3838	56.3528
22/09/08	25	19.5751	43.26228	33.6777	56.3325
22/09/08	50	14.3239	11.067734	25.8013	14.3318
05/01/09	1	14.12326	4.248242	4.3442	5.9073
05/01/09	10	14.38172	4.544134	3.9991	6.1509
05/01/09	25	14.10414	4.810874	4.1412	6.2727
05/01/09	50	13.3633	5.231555	4.263	6.3945
13/01/09	1	11.9922	6.270238	3.7961	6.496
13/01/09	10	11.93262	6.217913	3.7352	6.1712
13/01/09	25	12.89788	6.295186	3.3089	6.3539
13/01/09	50	12.5915	5.826976	3.3089	7.0644
21/01/09	1	14.7587	7.050948	4.1818	7.7749
21/01/09	10	13.73128	7.498766	3.2683	7.2471
21/01/09	25	13.26048	7.156721	3.3698	7.105
21/01/09	50	13.23016	6.035166	3.6946	6.3539
26/01/09	1	13.033	7.245147	3.7555	7.3283
26/01/09	10	12.90254	7.205088	3.7149	8.1606
26/01/09	25	12.47654	7.138012	3.6946	7.4907
26/01/09	50	12.35612	6.941569	3.857	7.308
11/02/09	1	13.03986	7.13647	3.7758	6.6381
11/02/09	10	13.09968	7.416555	2.639	6.09
11/02/09	25	12.96922	7.751441	2.5375	5.7449
11/02/09	50	11.97452	10.39374	3.4104	11.6928
16/02/09	1	11.92252	6.716854	3.3901	7.6125
16/02/09	10	11.84996	7.017386	3.2277	7.2065
16/02/09	25	11.9082	6.490865	3.1871	5.4201
16/02/09	50	13.04916	6.756773	3.7555	6.1712
23/02/09	1	10.3315	13.620163	5.2374	18.7166
23/02/09	25	9.98642	11.204764	4.669	20.2797
23/02/09	50	11.94348	6.66859	3.3495	4.466
02/03/09	1	11.3616	9.99006	3.4104	8.9523
02/03/09	10	11.41404	10.170295	3.9585	9.3989
02/03/09	25	11.44734	9.648119	3.248	8.0997
02/03/09	50	11.58542	9.720282	3.5322	8.7696
09/03/09	1	12.71828	12.984888	3.4713	9.8252
09/03/09	10	12.48018	13.093434	3.5931	9.6831
09/03/09	25	12.61286	13.157362	3.4713	9.5816
09/03/09	50	11.9709	12.046205	3.2683	10.2515
16/03/09	1	11.68902	14.530953	3.4307	8.8102
16/03/09	10	12.5512	13.342916	5.4201	9.0335
16/03/09	25	12.39282	11.264077	5.3186	8.3433
16/03/09	50	12.51656	11.802825	5.1359	7.917
23/03/09	1	11.81688	15.116849	2.7202	8.0388
23/03/09	10	12.69802	12.271696	2.8217	10.15
23/03/09	25	12.51972	13.57619	4.4254	12.4236
23/03/09	50	12.6486	11.59463	5.1968	9.1756
30/03/09	1	10.88296	4.421944	35.2205	11.4898
30/03/09	10	10.93728	4.835896	46.3449	15.7122
30/03/09	25	10.50118	4.817933	37.0881	14.2912
30/03/09	50	10.6161	5.907776	34.9363	15.3671
06/04/09	1	10.79814	22.819026	46.8321	52.4755
06/04/09	10	11.86086	32.299818	44.7818	58.6873
06/04/09	25	13.58194	10.347284	38.2452	27.1005
06/04/09	50	13.64262	10.619683	41.7165	26.187
14/04/09	1	8.36736	19.260293	3.4713	20.4421
14/04/09	10	8.76338	16.586239	3.6337	16.037
14/04/09	25	9.24072	9.541147	4.1209	13.1138
14/04/09	50	11.27268	17.932833	4.872	28.9275
21/04/09	1	15.38408	36.127419	10.1094	73.2018
21/04/09	10	12.21626	27.897868	11.7537	84.0826
21/04/09	25	7.4729	7.48352	8.7493	53.6529
21/04/09	50	8.81088	4.105257	7.9982	30.7342
27/04/09	1	12.2722	5.106669	4.9329	41.7571
27/04/09	10	13.14848	5.327377	4.9938	51.0545
27/04/09	25	15.1091	5.169981	5.5622	55.7235
27/04/09	50	13.03288	11.392789	13.4183	75.9829
05/05/09	1	7.7154	21.60276	29.1305	124.439
05/05/09	10	8.02496	11.853394	28.7854	113.9642
05/05/09	25	8.33248	1.308771	29.8816	73.283
05/05/09	50	12.45178	9.669793	24.1976	75.2724
14/05/09	1	19.85774	26.00616	9.1959	42.4067
14/05/09	10	19.5118	23.259017	9.8049	38.8136
14/05/09	25	18.01514	14.105102	9.3989	31.6071
14/05/09	50	17.47362	7.42914	5.9682	22.3909
21/05/09	1	17.43014	9.801473	2.6999	17.9452
21/05/09	10	14.4142	5.836304	3.5525	16.7272
21/05/09	25	14.86676	2.030774	3.9179	12.5657
21/05/09	50	16.7855	3.698624	7.1253	9.744
02/06/09	1	14.77018	4.018438	13.3574	11.2665
02/06/09	10	16.76792	4.333592	12.7687	13.2965
02/06/09	25	8.6402	0.548323	10.5966	7.2674
02/06/09	50	7.95516	0.464215	6.6178	7.4298
08/06/09	1	8.18746	3.79291	5.1765	33.0687
08/06/09	10	8.23464	4.371115	6.6381	40.1331
08/06/09	25	8.04404	5.409543	7.3689	37.6159
08/06/09	50	7.75266	3.872365	6.7396	28.1764
15/06/09	1	16.81932	9.256583	9.3989	14.8596
15/06/09	10	15.47864	11.724111	4.669	6.496
15/06/09	25	14.17234	5.198314	10.556	7.2877
15/06/09	50	10.0816	1.005206	12.0176	7.3486
22/06/09	1	12.13552	14.033345	6.7193	38.4888
22/06/09	10	12.2243	17.627073	6.496	33.9416
22/06/09	25	13.35984	33.653127	7.511	35.4438
22/06/09	50	8.60984	3.12233	10.962	17.4783
29/06/09	1	22.81822	9.947844	2.2533	7.4907
29/06/09	10	17.89922	6.329297	2.9435	14.1491
29/06/09	25	10.78478	1.900161	3.1871	11.4492
29/06/09	50	12.72402	1.617318	3.0044	10.759
07/07/09	1	32.9734	29.222707	7.3689	34.8551
07/07/09	10	41.19018	29.31671	5.7449	35.4641
07/07/09	25	17.4262	2.398966	2.5375	2.1518
07/07/09	50	18.74368	0.769047	2.3142	1.9894
13/07/09	1	14.6193	43.358716	4.263	13.4589
13/07/09	10	15.12286	42.556226	5.0141	14.0476
13/07/09	25	12.05206	5.237933	7.9779	6.3336
13/07/09	50	12.32096	2.376453	8.6072	2.9638
20/07/09	1	51.68078	85.955717	40.194	136.8626
20/07/09	10	46.17904	101.586906	46.3855	165.5465
20/07/09	25	39.2303	5.496473	27.7704	18.7572
20/07/09	50	36.90658	3.744913	24.36	11.0026
27/07/09	1	81.47614	30.086078	21.6601	28.6636
27/07/09	10	86.4984	21.369791	21.8428	20.9496
27/07/09	25	54.588	2.705021	34.9769	10.9417
27/07/09	50	48.09512	2.386927	31.7086	14.7987
17/08/09	2	14.95742	14.849476	4.2224	42.1428
24/08/09	2	27.58192	13.136668	9.6831	40.2549
24/08/09	10	29.5792	13.630574	10.7387	46.7103
24/08/09	25	25.24056	9.006047	9.4801	31.0387
24/08/09	50	29.79034	9.929115	8.729	22.939
07/09/09	2	39.88434	18.24675	9.4192	23.8931
07/09/09	10	39.30578	19.594404	8.8914	22.9593
07/09/09	25	34.36824	11.396382	9.0335	15.7528
07/09/09	50	18.96832	2.017875	5.9276	2.842
14/09/09	2	23.18462	15.774208	5.0547	23.751
14/09/09	10	25.23612	16.177378	5.3795	24.3397
14/09/09	25	22.95294	16.085083	5.0141	22.1676
14/09/09	50	16.54244	5.690133	4.8923	6.9832
22/09/09	2	31.3219	12.93687	8.0185	16.7272
22/09/09	10	29.529	12.090935	7.8155	14.3115
22/09/09	25	30.72672	11.624213	7.6734	13.9664
22/09/09	50	29.04648	11.651327	6.699	13.4183
30/09/09	2	22.32696	13.723811	4.6487	37.7377
30/09/09	10	29.07424	14.481227	5.8464	45.5735
30/09/09	25	23.11448	18.293157	8.4245	58.464
30/09/09	50	37.31776	10.883723	5.1156	20.7872
07/10/09	2	30.2562	5.910682	10.4951	16.9302
07/10/09	10	31.04144	5.824724	7.8358	15.6716
07/10/09	25	28.71184	5.324817	7.6125	11.4492
07/10/09	50	30.72422	4.929538	8.3839	10.3936
12/10/09	2	18.47822	3.91347	5.1968	25.6389
12/10/09	10	17.60244	3.658378	6.7193	24.7254
12/10/09	25	15.94938	2.892815	7.917	20.2188
12/10/09	50	21.23016	1.551292	7.2471	12.0176
19/10/09	2	33.15596	11.347319	4.5472	18.5136
19/10/09	10	29.34378	11.924867	5.0344	19.691
19/10/09	25	30.08538	9.867872	5.2983	21.518
19/10/09	50	34.86098	10.830467	5.1765	19.4677
26/10/09	2	35.43776	17.740294	4.3442	14.616
26/10/09	10	31.82664	17.389952	4.1615	12.7484
26/10/09	25	30.35254	15.572053	3.7149	9.6019
26/10/09	50	29.01666	13.46421	3.6946	7.9982
09/11/09	2	27.37814	17.451628	3.7758	7.9779
09/11/09	10	26.9093	17.525183	3.857	7.5313
09/11/09	25	28.53746	17.394006	4.4863	6.8411
09/11/09	50	24.02754	12.163049	4.4254	5.0141
01/12/09	2	18.6745	5.62182	5.1156	4.0397
01/12/09	10	18.056	5.400026	4.9329	3.6134
01/12/09	25	16.57602	4.666525	4.7502	3.0044
01/12/09	50	16.40754	4.961921	4.9126	3.4916
09/12/09	2	16.60608	5.651015	5.3186	4.872
09/12/09	10	16.60264	5.73288	5.5013	4.9938
09/12/09	25	16.14	5.749579	5.1156	4.8111
09/12/09	50	15.13292	6.022251	4.8111	5.3592
15/12/09	2	15.10592	6.556272	5.2983	6.09
15/12/09	10	15.70672	6.494948	5.4404	5.6637
15/12/09	25	16.38826	7.185778	4.872	6.7599
15/12/09	50	14.68348	8.396307	6.0494	9.338
21/12/09	2	10.09126	9.972516	8.2418	11.8755
21/12/09	10	9.98554	9.769831	8.4042	10.7996
21/12/09	25	8.44242	10.051006	7.7952	9.338
21/12/09	50	8.56292	7.314598	7.5922	6.6178
04/01/10	2	11.40966	10.598853	3.4713	6.902
04/01/10	10	10.7571	10.722215	3.4916	7.0847
04/01/10	25	13.87228	10.582367	2.9232	7.0238
04/01/10	50	11.31132	10.585748	3.1668	6.6584
