date	mesozoo
03/01/2006	3.3773104602
09/01/2006	3.2592411591
16/01/2006	3.7467966951
23/01/2006	3.5525607208
06/02/2006	2.1637914958
13/02/2006	1.8137439488
21/02/2006	4.0637144219
27/02/2006	3.0357396184
06/03/2006	3.1907831538
15/03/2006	17.3967746509
20/03/2006	7.9899728661
29/03/2006	22.2533200623
03/04/2006	41.3987850552
11/04/2006	15.8589206718
18/04/2006	11.5585222182
25/04/2006	23.4547711957
04/05/2006	27.0421752347
08/05/2006	28.648812684
15/05/2006	29.2455978486
23/05/2006	21.5774194084
06/06/2006	7.7402171066
12/06/2006	8.6039143503
20/06/2006	20.6041120171
27/06/2006	30.5240976062
03/07/2006	26.9985726149
10/07/2006	30.2797220486
17/07/2006	19.3057437663
07/08/2006	20.4665739526
14/08/2006	14.8537591256
21/08/2006	17.3140000392
29/08/2006	19.1961313431
04/09/2006	5.727844703
12/09/2006	18.0460411721
25/09/2006	15.505821331
03/10/2006	17.4810345986
09/10/2006	8.3411538582
30/10/2006	3.5315497732
06/11/2006	4.0780863405
18/12/2006	2.6568771808
15/01/2007	0.5768700686
22/01/2007	1.6464168951
29/01/2007	0.8611459499
05/02/2007	2.7782571591
16/02/2007	8.5923372102
20/02/2007	3.8918252922
26/02/2007	4.3134105864
07/03/2007	3.9188030749
12/03/2007	3.0529511821
20/03/2007	27.2212545653
26/03/2007	14.1876610174
10/04/2007	10.8471466753
16/04/2007	24.4328306272
23/04/2007	12.2364125634
30/04/2007	2.7194994224
08/05/2007	3.2226296829
21/05/2007	32.9328718677
04/06/2007	18.215809138
11/06/2007	14.9638746131
25/06/2007	7.4870950591
02/07/2007	6.0336953134
09/07/2007	10.9231887072
16/07/2007	13.9888492214
23/07/2007	14.5024033716
30/07/2007	22.5464646626
06/08/2007	10.2485335136
13/08/2007	8.9254003266
20/08/2007	11.042358478
28/08/2007	9.1161308703
03/09/2007	15.5457410479
10/09/2007	16.8138113417
17/09/2007	9.5499294279
28/09/2007	17.5315196076
02/10/2007	16.1353505687
08/10/2007	8.9602383421
25/10/2007	9.5049814092
30/10/2007	7.2528638978
05/11/2007	6.3340800521
12/11/2007	5.3117039369
22/11/2007	4.0465245189
11/12/2007	5.8031628041
28/01/2008	2.8184867223
13/02/2008	6.0926375327
20/02/2008	7.5273592113
27/02/2008	13.3473970443
05/03/2008	13.7982366687
17/03/2008	12.8291757047
31/03/2008	12.9223102029
07/04/2008	25.6203074832
14/04/2008	17.6086990246
21/04/2008	34.7903895414
28/04/2008	35.7745595678
06/05/2008	29.3490157747
12/05/2008	10.1417152447
19/05/2008	13.4515592762
28/05/2008	14.7276222321
02/06/2008	15.9375641971
09/06/2008	25.5720372306
16/06/2008	18.2885155212
23/06/2008	16.7141733271
30/06/2008	28.1342464233
14/07/2008	6.3775042859
21/07/2008	6.2287158008
28/07/2008	9.0427993918
20/08/2008	14.2145659568
26/08/2008	10.7253267057
02/09/2008	21.4727221754
10/09/2008	20.094066953
15/09/2008	13.3450005378
22/09/2008	8.0640109768
29/09/2008	4.7423616913
06/10/2008	14.7121539567
13/10/2008	8.5989723451
21/10/2008	19.2846683534
27/10/2008	14.5087670988
03/11/2008	31.0581808928
17/11/2008	9.2256333567
26/11/2008	8.4804782355
01/12/2008	18.3219059877
08/12/2008	5.6392386283
15/12/2008	7.6159336394
22/12/2008	6.5607556088
05/01/2009	8.464599355
13/01/2009	2.7161323852
21/01/2009	4.9354324556
26/01/2009	2.8655562043
11/02/2009	2.8281314558
16/02/2009	3.6224323108
23/02/2009	2.9799714401
02/03/2009	6.2633535833
09/03/2009	6.7844215993
16/03/2009	12.8461372258
23/03/2009	62.3100811718
30/03/2009	68.6395933225
06/04/2009	33.6519057672
14/04/2009	19.2979239073
21/04/2009	51.3056443367
27/04/2009	24.6798047528
05/05/2009	26.0554755003
13/05/2009	42.9323405771
21/05/2009	32.2028003453
02/06/2009	32.1483603905
08/06/2009	39.6613211841
15/06/2009	57.2840122913
22/06/2009	41.4540723826
29/06/2009	49.0108121136
07/07/2009	33.1888960166
13/07/2009	20.3778325555
20/07/2009	11.1519844735
27/07/2009	17.6537495568
12/08/2009	43.1069530724
17/08/2009	17.9992018661
24/08/2009	23.9242164166
01/09/2009	17.7045851119
07/09/2009	12.390395451
14/09/2009	8.4598747734
22/09/2009	14.8831836368
28/09/2009	33.1639038711
07/10/2009	15.3639376754
12/10/2009	16.1823140886
19/10/2009	12.8798969256
26/10/2009	13.6759869008
09/11/2009	13.6397904371
01/12/2009	6.2320460775
09/12/2009	4.595621317
15/12/2009	7.0758978016
21/12/2009	4.1508877375
04/01/2010	5.5713953323
11/01/2010	6.0572022538
18/01/2010	3.0419961421
26/01/2010	6.5779777258
01/02/2010	3.1135892546
08/02/2010	5.2538705085
15/02/2010	7.5534239031
25/02/2010	4.2422508894
01/03/2010	9.0465621255
08/03/2010	5.5248633687
15/03/2010	14.3176129471
23/03/2010	18.0293354194
07/04/2010	28.213240491
12/04/2010	13.6375734978
19/04/2010	12.2097410849
26/04/2010	10.2272286131
04/05/2010	7.2580232066
10/05/2010	7.1056091397
17/05/2010	15.8226508662
24/05/2010	36.6380600079
02/06/2010	32.7347619665
07/06/2010	30.1440906547
14/06/2010	56.9562685437
21/06/2010	50.8060029917
29/06/2010	37.2468202528
05/07/2010	23.4166142918
12/07/2010	24.5979524296
19/07/2010	14.0579326495
26/07/2010	43.9921263024
03/08/2010	31.2995170426
11/08/2010	22.8672780758
16/08/2010	15.9231906886
02/09/2010	13.6020569518
06/09/2010	19.7243828362
13/09/2010	16.0572902152
20/09/2010	9.0503925561
27/09/2010	11.2593589848
04/10/2010	18.0927720755
13/10/2010	18.0209696841
18/10/2010	22.0275317662
25/10/2010	12.4083882723
01/11/2010	13.6833798672
10/11/2010	8.8843428608
16/11/2010	9.2638841287
22/11/2010	6.0729447974
30/11/2010	4.6853301159
06/12/2010	6.6481863949
13/12/2010	7.2844918143
21/12/2010	6.1024196696
06/01/2011	5.2395447189
17/01/2011	6.9967071501
25/01/2011	3.2877333224
25/01/2011	3.6986280625
31/01/2011	4.3096181067
08/02/2011	6.6875649921
14/02/2011	4.3723203984
22/02/2011	4.2518257928
28/02/2011	5.8557794444
07/03/2011	8.5304978902
14/03/2011	17.6055472621
22/03/2011	19.1102070994
28/03/2011	39.0351697274
06/04/2011	18.6061442786
11/04/2011	24.0542262855
18/04/2011	40.5577584779
26/04/2011	6.7623688196
11/05/2011	19.2192952869
16/05/2011	12.6909693911
24/05/2011	22.6995820194
01/06/2011	21.3816705254
06/06/2011	31.1598742085
14/06/2011	20.7517840178
20/06/2011	25.5128060986
27/06/2011	18.5672135301
04/07/2011	25.7797257336
11/07/2011	10.3344098275
19/07/2011	10.9406925957
25/07/2011	16.4949483717
01/08/2011	26.1735131478
08/08/2011	30.9070448319
15/08/2011	27.7414138186
22/08/2011	20.2655944544
30/08/2011	31.2159350922
15/09/2011	25.5038362599
19/09/2011	11.6888870586
26/09/2011	21.1329847431
03/10/2011	28.3746762158
12/10/2011	10.8996662158
17/10/2011	14.165390014
25/10/2011	12.7924347538
08/11/2011	12.8471846763
16/11/2011	17.5766328032
21/11/2011	15.4038520926
19/12/2011	4.9271655676
09/01/2012	4.3786230196
16/01/2012	2.3327828232
23/01/2012	3.0377160809
30/01/2012	2.4154177269
07/02/2012	4.2273191958
13/02/2012	2.0499330723
20/02/2012	1.9145344326
27/02/2012	2.7460588741
06/03/2012	9.7479476175
13/03/2012	19.0400645193
19/03/2012	31.828280372
26/03/2012	18.9488203114
02/04/2012	22.9752250561
11/04/2012	15.9697888327
16/04/2012	8.4199495754
24/04/2012	10.2773829505
01/05/2012	3.2498469474
08/05/2012	11.8378132401
14/05/2012	20.8473838405
21/05/2012	16.3955944047
28/05/2012	24.3118266685
11/06/2012	44.2916874091
18/06/2012	19.592167596
25/06/2012	11.9942942936
02/07/2012	11.6711072793
09/07/2012	21.93981783
23/07/2012	27.7933081367
30/07/2012	9.6052657937
06/08/2012	15.1974921564
14/08/2012	8.9724007151
20/08/2012	60.6649047567
03/09/2012	8.1832114628
10/09/2012	17.4579013416
17/09/2012	11.2270551365
26/09/2012	21.9600751536
08/10/2012	9.5743929831
15/10/2012	8.3696266224
22/10/2012	14.1417064725
30/10/2012	5.1087916246
07/11/2012	10.3460382672
14/11/2012	6.6507459183
28/11/2012	7.0766841775
05/12/2012	16.577687989
10/12/2012	10.1144119444
18/12/2012	7.7558462564
09/01/2013	2.7214879331
14/01/2013	3.9017479974
21/01/2013	3.6832170902
07/02/2013	5.7076088494
11/02/2013	2.8643312877
19/02/2013	2.9669344859
25/02/2013	3.5597653079
06/03/2013	16.8906578138
13/03/2013	11.6799151486
19/03/2013	15.178483679
25/03/2013	29.3555426566
03/04/2013	14.2791215056
09/04/2013	11.150317822
17/04/2013	8.4447882193
22/04/2013	12.9882300545
29/04/2013	19.4588804692
07/05/2013	11.3172223474
15/05/2013	21.9277721883
20/05/2013	14.835886196
29/05/2013	5.8772944343
03/06/2013	1.5462615739
10/06/2013	5.3229433682
17/06/2013	1.6694104109
24/06/2013	16.9239270126
01/07/2013	19.1685108587
08/07/2013	10.784845067
15/07/2013	18.1410866597
22/07/2013	18.60205717
30/07/2013	21.1337969899
06/08/2013	8.2276372356
12/08/2013	16.7886465059
19/08/2013	35.645700269
27/08/2013	38.2948659402
02/09/2013	9.9937916617
09/09/2013	16.4024531133
23/09/2013	31.0153901557
30/09/2013	14.9436935049
07/10/2013	10.5017271842
14/10/2013	9.2829626503
30/10/2013	9.8094777744
04/11/2013	5.4507094892
11/11/2013	6.9048673435
18/11/2013	4.6930954858
25/11/2013	5.7576840137
02/12/2013	6.6133518579
09/12/2013	3.6703477859
17/12/2013	4.0344249332
14/01/2014	2.202657928
20/01/2014	0.8963111361
29/01/2014	1.4531382591
10/02/2014	0.8147087135
18/02/2014	0.5361301121
05/03/2014	0.8825751184
11/03/2014	3.0482135374
17/03/2014	9.8186715388
25/03/2014	25.1038786446
31/03/2014	7.8742934418
09/04/2014	8.5661112552
14/04/2014	5.0141557578
22/04/2014	11.6793847984
28/04/2014	9.5821344469
06/05/2014	2.5754213441
12/05/2014	7.3633096046
19/05/2014	3.2080538616
28/05/2014	10.6564653558
02/06/2014	19.7556275095
09/06/2014	11.3490877053
16/06/2014	34.8847347476
23/06/2014	18.4319608525
30/06/2014	5.7791147971
07/07/2014	11.1314258127
14/07/2014	9.0265863103
21/07/2014	13.4619492221
28/07/2014	9.0655982767
04/08/2014	12.8499985781
18/08/2014	10.5952561226
26/08/2014	20.3844275154
01/09/2014	50.0822650241
08/09/2014	13.8110399994
15/09/2014	5.4818777857
22/09/2014	17.5388427963
29/09/2014	13.9739633215
13/10/2014	8.9123119651
22/10/2014	6.50845996
28/10/2014	11.3289839179
05/11/2014	8.0088969818
17/11/2014	5.6118058256
23/11/2014	7.0502931482
02/12/2014	15.2509183629
08/12/2014	6.3492462615
15/12/2014	7.0015793542
05/01/2015	4.3698500739
19/01/2015	2.3707483093
27/01/2015	3.8402038358
02/02/2015	3.9613693896
09/02/2015	9.4937162377
16/02/2015	3.2683824017
10/03/2015	9.0267377214
16/03/2015	10.2857860671
23/03/2015	10.568851755
30/03/2015	27.6276370253
07/04/2015	39.1723380994
13/04/2015	24.2154983572
20/04/2015	64.3060781149
27/04/2015	10.5463652456
07/05/2015	8.5404038236
11/05/2015	4.946843581
27/05/2015	25.5049353888
03/06/2015	13.4033535416
08/06/2015	11.11997403
15/06/2015	36.5679506326
22/06/2015	18.1347790197
29/06/2015	16.3533957337
06/07/2015	7.5129596756
14/07/2015	4.8825390301
20/07/2015	18.601903065
28/07/2015	13.7993301934
03/08/2015	14.8163622695
10/08/2015	13.5713971531
17/08/2015	18.1344463377
24/08/2015	18.5190068817
01/09/2015	17.550162158
07/09/2015	8.2292021249
16/09/2015	6.5530057255
23/09/2015	11.2302520329
29/09/2015	7.2285947518
07/10/2015	12.2053598079
13/10/2015	16.7085057138
19/10/2015	25.2782724613
27/10/2015	25.1868825326
02/11/2015	20.3125935405
16/11/2015	8.6294379898
23/11/2015	4.9833584715
07/12/2015	12.9222356792
15/12/2015	4.2581500666
05/01/2016	1.8830634814
13/01/2016	4.2983596295
19/01/2016	3.5059517151
28/01/2016	0.7853977835
02/02/2016	1.3161312619
10/02/2016	4.6151054122
15/02/2016	0.5782257353
23/02/2016	1.1525796772
29/02/2016	2.7362426808
07/03/2016	10.1516897674
14/03/2016	21.4261671566
21/03/2016	31.7035941935
30/03/2016	31.1793743229
04/04/2016	37.7058589436
11/04/2016	36.3970597819
18/04/2016	19.5851504279
25/04/2016	16.4581884001
03/05/2016	26.2831843893
10/05/2016	0.8112146989
16/05/2016	2.1939589135
23/05/2016	0.3703927242
01/06/2016	3.1011956042
08/06/2016	3.6642281839
13/06/2016	1.2519419116
20/06/2016	4.9134132075
27/06/2016	11.2217159892
04/07/2016	6.4660126526
12/07/2016	8.3282924211
18/07/2016	17.8155689684
25/07/2016	15.7735490358
01/08/2016	8.6649300632
08/08/2016	10.4732720077
15/08/2016	24.3260283608
22/08/2016	30.7419810934
01/09/2016	14.5328511655
05/09/2016	18.2399541158
13/09/2016	16.2644875263
19/09/2016	7.4525561929
28/09/2016	5.1166216176
10/10/2016	8.1193689653
19/10/2016	5.6786335326
24/10/2016	3.792255702
01/11/2016	7.7770175663
07/11/2016	3.6051876589
14/11/2016	4.5461360714
23/11/2016	4.8728988632
28/11/2016	7.0121954115
05/12/2016	5.0864591528
12/12/2016	7.1324680396
19/12/2016	6.6122486839
03/01/2017	1.3417300953
10/01/2017	2.4842712047
16/01/2017	1.4203387045
23/01/2017	0.8440392556
30/01/2017	1.5747257748
06/02/2017	1.7770431434
14/02/2017	2.1112113927
20/02/2017	3.3871947547
01/03/2017	2.4023916639
14/03/2017	5.267772
22/03/2017	23.6639521684
27/03/2017	15.9692618565
03/04/2017	24.5227771972
10/04/2017	17.3986733254
18/04/2017	14.277778868
24/04/2017	14.4630411789
02/05/2017	35.4342842153
08/05/2017	21.9683422493
17/05/2017	34.6361686723
22/05/2017	19.0586486503
31/05/2017	16.4615587368
12/06/2017	13.4122985263
19/06/2017	8.5085473684
26/06/2017	18.9235061053
03/07/2017	8.5090425263
17/07/2017	17.1252345263
24/07/2017	31.5092512892
31/07/2017	21.2183459586
07/08/2017	42.0181322105
14/08/2017	22.6119627943
21/08/2017	45.5942406648
29/08/2017	12.1592320153
04/09/2017	18.0341971161
18/09/2017	10.0748600887
20/09/2017	17.0843757895
25/09/2017	18.9431365935
03/10/2017	15.8547181796
25/10/2017	24.1772463759
30/10/2017	27.6023995515
06/11/2017	21.5108010266
13/11/2017	11.5207962492
21/11/2017	4.965571767
28/11/2017	6.1802823178
04/12/2017	5.6986858779
12/12/2017	6.8134222953

