date	month	year	mld
2006-01-01	1	2006	49.4581184387
2006-01-02	1	2006	49.1217079163
2006-01-03	1	2006	49.0746879578
2006-01-04	1	2006	49.2814788818
2006-01-05	1	2006	49.7636566162
2006-01-06	1	2006	50.2197418213
2006-01-07	1	2006	50.8987884521
2006-01-08	1	2006	51.3366851807
2006-01-09	1	2006	51.776966095
2006-01-10	1	2006	51.9247055054
2006-01-11	1	2006	51.8370819092
2006-01-12	1	2006	51.4501953125
2006-01-13	1	2006	51.0411376953
2006-01-14	1	2006	50.3659515381
2006-01-15	1	2006	49.7193450928
2006-01-16	1	2006	49.3663825989
2006-01-17	1	2006	49.0904350281
2006-01-18	1	2006	49.0914535522
2006-01-19	1	2006	49.3615112305
2006-01-20	1	2006	49.8887443542
2006-01-21	1	2006	50.35987854
2006-01-22	1	2006	29.6919555664
2006-01-23	1	2006	35.1965026855
2006-01-24	1	2006	39.5904426575
2006-01-25	1	2006	40.4333534241
2006-01-26	1	2006	41.8331108093
2006-01-27	1	2006	51.3400344849
2006-01-28	1	2006	50.9075164795
2006-01-29	1	2006	50.2257156372
2006-01-30	1	2006	49.6044120789
2006-01-31	1	2006	49.2857894897
2006-02-01	2	2006	49.0729980469
2006-02-02	2	2006	49.1220664978
2006-02-03	2	2006	49.4527282715
2006-02-04	2	2006	50.0198059082
2006-02-05	2	2006	50.5013923645
2006-02-06	2	2006	27.9886016846
2006-02-07	2	2006	32.6595497131
2006-02-08	2	2006	38.8268241882
2006-02-09	2	2006	31.9866142273
2006-02-10	2	2006	30.0870990753
2006-02-11	2	2006	30.6896286011
2006-02-12	2	2006	50.7698898315
2006-02-13	2	2006	50.0881652832
2006-02-14	2	2006	49.4982452393
2006-02-15	2	2006	49.2171363831
2006-02-16	2	2006	49.0695762634
2006-02-17	2	2006	49.1662330627
2006-02-18	2	2006	49.554233551
2006-02-19	2	2006	50.1555519104
2006-02-20	2	2006	50.6428871155
2006-02-21	2	2006	51.2832832336
2006-02-22	2	2006	51.6394996643
2006-02-23	2	2006	51.9080657959
2006-02-24	2	2006	51.8542518616
2006-02-25	2	2006	51.6309127808
2006-02-26	2	2006	51.0960273743
2006-02-27	2	2006	50.6296043396
2006-02-28	2	2006	49.9546585083
2006-03-01	3	2006	49.4018974304
2006-03-02	3	2006	49.1610984802
2006-03-03	3	2006	49.0801963806
2006-03-04	3	2006	49.2235145569
2006-03-05	3	2006	49.6650314331
2006-03-06	3	2006	50.2946510315
2006-03-07	3	2006	10.9624681473
2006-03-08	3	2006	26.3358192444
2006-03-09	3	2006	27.3959102631
2006-03-10	3	2006	51.9244918823
2006-03-11	3	2006	51.8036155701
2006-03-12	3	2006	15.7048444748
2006-03-13	3	2006	50.9645843506
2006-03-14	3	2006	50.4880485535
2006-03-15	3	2006	0
2006-03-16	3	2006	49.3163070679
2006-03-17	3	2006	49.118221283
2006-03-18	3	2006	49.1047554016
2006-03-19	3	2006	49.293346405
2006-03-20	3	2006	49.7840309143
2006-03-21	3	2006	50.4357299805
2006-03-22	3	2006	50.9202766418
2006-03-23	3	2006	51.5031089783
2006-03-24	3	2006	51.7870178223
2006-03-25	3	2006	38.8635864258
2006-03-26	3	2006	39.518787384
2006-03-27	3	2006	51.436706543
2006-03-28	3	2006	50.8285484314
2006-03-29	3	2006	50.3466072083
2006-03-30	3	2006	49.7049598694
2006-03-31	3	2006	49.2423248291
2006-04-01	4	2006	14.2778940201
2006-04-02	4	2006	49.1430168152
2006-04-03	4	2006	15.0454730988
2006-04-04	4	2006	5.7344236374
2006-04-05	4	2006	15.4118528366
2006-04-06	4	2006	4.8380799294
2006-04-07	4	2006	11.7320890427
2006-04-08	4	2006	18.8562850952
2006-04-09	4	2006	13.0608453751
2006-04-10	4	2006	13.6539516449
2006-04-11	4	2006	9.431470871
2006-04-12	4	2006	15.445939064
2006-04-13	4	2006	17.4953079224
2006-04-14	4	2006	16.5403995514
2006-04-15	4	2006	2.2422845364
2006-04-16	4	2006	4.6504516602
2006-04-17	4	2006	10.0734415054
2006-04-18	4	2006	11.2475814819
2006-04-19	4	2006	12.5895366669
2006-04-20	4	2006	4.8063182831
2006-04-21	4	2006	6.2570281029
2006-04-22	4	2006	8.4925537109
2006-04-23	4	2006	12.4145936966
2006-04-24	4	2006	8.5264387131
2006-04-25	4	2006	13.630903244
2006-04-26	4	2006	10.4852552414
2006-04-27	4	2006	4.1884937286
2006-04-28	4	2006	4.1488471031
2006-04-29	4	2006	9.0935630798
2006-04-30	4	2006	4.9702587128
2006-05-01	5	2006	11.7417707443
2006-05-02	5	2006	12.392580986
2006-05-03	5	2006	20.3879737854
2006-05-04	5	2006	14.5947151184
2006-05-05	5	2006	15.4970436096
2006-05-06	5	2006	12.9066038132
2006-05-07	5	2006	13.6783208847
2006-05-08	5	2006	9.5393457413
2006-05-09	5	2006	7.5909938812
2006-05-10	5	2006	3.2082498074
2006-05-11	5	2006	2.7337629795
2006-05-12	5	2006	0.063736774
2006-05-13	5	2006	6.4892883301
2006-05-14	5	2006	2.6434381008
2006-05-15	5	2006	9.0219402313
2006-05-16	5	2006	9.5256242752
2006-05-17	5	2006	9.0658464432
2006-05-18	5	2006	22.0728626251
2006-05-19	5	2006	28.4018058777
2006-05-20	5	2006	19.341085434
2006-05-21	5	2006	6.2856531143
2006-05-22	5	2006	15.7896852493
2006-05-23	5	2006	17.3193740845
2006-05-24	5	2006	23.882900238
2006-05-25	5	2006	0.3656244278
2006-05-26	5	2006	8.3715438843
2006-05-27	5	2006	16.032119751
2006-05-28	5	2006	12.5310840607
2006-05-29	5	2006	8.5718832016
2006-05-30	5	2006	11.1582946777
2006-05-31	5	2006	6.7772016525
2006-06-01	6	2006	4.0953159332
2006-06-02	6	2006	3.5895185471
2006-06-03	6	2006	0
2006-06-04	6	2006	1.2107212543
2006-06-05	6	2006	0
2006-06-06	6	2006	4.0109205246
2006-06-07	6	2006	1.3669420481
2006-06-08	6	2006	1.8198182583
2006-06-09	6	2006	5.8890323639
2006-06-10	6	2006	15.482872963
2006-06-11	6	2006	10.2644033432
2006-06-12	6	2006	7.710398674
2006-06-13	6	2006	9.554848671
2006-06-14	6	2006	3.5365216732
2006-06-15	6	2006	10.0646219254
2006-06-16	6	2006	4.6929688454
2006-06-17	6	2006	0
2006-06-18	6	2006	8.3146076202
