date	depth	nitrite	nitrate	ammonium	silicate	phosphate
17/01/2000	0	0.07	8.05	0.1	3.62	0.35
02/02/2000	0	0.17	7.4	0.11	3.23	0.35
21/02/2000	0	0.31	7.78	0.29	2.9	0.38
13/03/2000	0	0.3	5.52	0.13	2.38	0.31
20/03/2000	0	0.36	5.19	0.22	2.15	0.3
27/03/2000	0	0.39	4.99	0.53	2.22	0.3
03/04/2000	0	0.31	4.34	0.47	1.76	0.28
11/04/2000	0	0.13	2.33	0.33	0.88	0.16
12/06/2000	0	0.05	0.09	0.1	0.46	0.05
19/06/2000	0	0.05	0.21	0.18	0.13	0.06
17/07/2000	0	0.05	0.05	0.13	0.13	0.05
21/08/2000	0	0.05	0.25	0.1	1.89	0.05
04/09/2000	0	0.06	0.21	0.58	2.93	0.05
12/10/2000	0	0.18	3.89	0.1	5.35	0.21
16/10/2000	0	0.44	8.43	0.73	7.3	0.21
26/10/2000	0	0.22	7.74	0.16	6.39	0.28
13/11/2000	0	0.2	9.29	0.21	5.48	0.41
19/11/2000	0	0.21	9.72	0.35	5.61	0.41
16/01/2001	0	0.08	8.47	NA	4.96	0.49
19/02/2001	0	0.09	4.57	NA	2.9	0.21
27/02/2001	0	0.27	6.05	NA	3.78	0.33
04/03/2001	0	0.45	5.38	NA	2.32	0.25
17/04/2001	0	0.43	5.09	NA	2.21	0.22
22/04/2001	0	0.32	1.18	NA	1.14	0.07
29/04/2001	0	0.47	0.72	NA	1.12	0.04
07/05/2001	0	0.19	0.42	NA	0.67	0.04
07/05/2001	0	0.18	0.72	NA	1.74	0.04
13/05/2001	0	0.51	0.71	NA	1.06	0.06
20/05/2001	0	0.02	0.05	NA	0.37	0.04
30/05/2001	0	0.29	0.48	NA	0.82	0.04
03/06/2001	0	0.32	0.7	NA	0.75	0.04
01/07/2001	0	0.07	0.32	NA	0.46	0.04
08/07/2001	0	0.27	0.94	NA	1.54	0.06
22/07/2001	0	0.34	0.63	NA	1.2	0.04
29/07/2001	0	0.24	0.51	NA	0.57	0.04
12/08/2001	0	0.17	0.48	NA	0.53	0.15
18/08/2001	0	0.25	0.68	NA	0.55	0.05
29/08/2001	0	0.38	0.7	NA	1.02	0.12
02/09/2001	0	0.31	0.63	NA	1.39	0.09
09/09/2001	0	0.43	0.72	NA	2.06	0.04
16/09/2001	0	0.47	0.66	NA	1.33	0.04
23/09/2001	0	0.49	1.24	NA	1.51	0.07
21/10/2001	0	0.43	1.18	NA	2.68	0.08
04/11/2001	0	0.35	1.51	NA	2.93	0.12
18/11/2001	0	0.13	1.53	NA	2.59	0.14
25/11/2001	0	0.22	1.75	NA	3	0.22
09/12/2001	0	0.14	2.07	NA	3.13	0.18
16/12/2001	0	0.12	2.35	NA	3.3	0.17
07/01/2002	0	0.11	1.89	NA	2.21	0.14
12/02/2002	0	0.1	2.5	NA	3.03	0.24
07/04/2002	0	0.32	2.21	NA	1.07	0.59
30/04/2002	0	0.12	0.93	NA	0.84	0.37
06/05/2002	0	0.02	0.16	NA	0.74	0.28
16/05/2002	0	0.19	0.28	NA	0.74	0.24
27/05/2002	0	0.02	NA	NA	3.33	NA
11/06/2002	0	0.01	0.2	NA	0.44	0.18
18/06/2002	0	0.02	0.17	NA	0.72	0.32
24/06/2002	0	0.1	0.24	NA	NA	0.28
01/07/2002	0	0.08	0.08	NA	0.15	0.26
09/07/2002	0	0.1	0.2	NA	NA	0.17
16/07/2002	0	0	0.01	NA	0.21	0.15
22/07/2002	0	0.01	0.09	NA	0.1	0.09
29/07/2002	0	0.13	0.25	NA	0.01	0.15
05/08/2002	0	0.07	0.08	NA	0.32	0.11
12/08/2002	0	0.05	0.71	NA	2.67	0.22
19/08/2002	0	0.03	0.14	NA	2.58	0.32
28/08/2002	0	0.03	0.15	NA	1.23	0.27
02/09/2002	0	0.06	0.07	NA	1.6	0.22
09/09/2002	0	0.05	0.26	NA	1.75	0.22
16/09/2002	0	0.11	0.51	NA	1.58	0.36
23/09/2002	0	0.14	1.3	NA	5.1	0.22
30/09/2002	0	0.15	0.55	NA	1.63	0.35
07/10/2002	0	0.23	0.87	NA	3.9	0.37
14/10/2002	0	0.67	0.77	NA	2.88	0.31
28/10/2002	0	0.54	1.25	NA	3.28	0.41
04/11/2002	0	0.91	3.08	NA	3.4	0.65
18/11/2002	0	0.34	6.46	NA	5.05	0.57
25/11/2002	0	0.28	11.68	NA	6.41	0.66
03/12/2002	0	0.05	5.01	NA	3.32	0.73
16/12/2002	0	0.14	7.08	NA	6.19	0.62
06/01/2003	0	0.03	7.66	0.03	4.4	0.66
13/01/2003	0	0.12	12.21	0.03	5.26	0.73
22/01/2003	0	0.15	7.07	0.12	5.63	0.95
27/01/2003	0	0.14	12.21	0.03	7.44	0.77
03/02/2003	0	0.1	9.03	0.03	6.94	0.67
10/02/2003	0	0.14	10.66	0.03	6.7	0.85
17/02/2003	0	0.16	8.72	0.75	7.41	0.73
03/03/2003	0	0.32	6.81	0.03	2.5	0.72
11/03/2003	0	0.31	9.11	0.21	5.1	0.95
17/03/2003	0	0.16	5.09	0.2	4.12	0.79
31/03/2003	0	0.05	3.29	0.18	5.02	0.69
07/04/2003	0	0.05	2.59	0.06	1.73	0.48
14/04/2003	0	0.12	2.76	0.3	5.98	1.05
22/04/2003	0	0.03	0.03	0.24	4.76	0.45
07/05/2003	0	0.2	1.05	0.24	8.03	0.54
12/05/2003	0	0	0	0.03	0.61	0.26
19/05/2003	0	0	0.04	0.15	0.94	0.18
28/05/2003	0	0	0.05	0.29	0.58	0.14
02/06/2003	0	0	0.05	0.29	0.35	0.11
09/06/2003	0	0	0.05	0.34	0.46	0.17
16/06/2003	0	0	0.05	0.15	0.29	0.13
23/06/2003	0	0	0.04	0.29	0.29	0.18
30/06/2003	0	0	0.05	0.27	0.25	0.1
07/07/2003	0	0	0.04	0.28	0.75	0.1
14/07/2003	0	0	0	0.23	1.35	0.09
21/07/2003	0	0	0.04	0.27	0.31	0.18
28/07/2003	0	0	0	0.3	0.52	0.11
04/08/2003	0	0	0.06	0.22	7.05	0.05
11/08/2003	0	0	0.2	0.79	6.06	0.89
20/08/2003	0	0	0.13	0.3	2.76	0.39
27/08/2003	0	0	0.13	0.42	2.67	0.41
02/09/2003	0	0.39	0.85	0.62	3.1	0.53
11/09/2003	0	0.25	0.91	0.74	3.83	0.71
15/09/2003	0	0.45	1.37	0.65	3.42	0.68
24/09/2003	0	0.31	0.74	0.47	1.69	0.38
29/09/2003	0	1.22	3.41	0.55	5.23	1.04
13/10/2003	0	0.41	1.86	0.63	2.28	0.53
21/10/2003	0	0.8	2.85	0.9	2.69	0.73
27/10/2003	0	1.04	4.11	0	2.97	0.51
06/11/2003	0	1.08	5.04	0	6.99	0.47
10/11/2003	0	1.02	5.33	0	8.29	0.42
24/11/2003	0	0.07	5.59	0	3.38	0.51
10/12/2003	0	0.07	6.13	0	3.9	0.51
15/12/2003	0	0.22	7.95	0	4.44	0.58
21/01/2004	0	0.17	9.81	0	4.37	0.58
28/01/2004	0	0.24	11.36	0	8.9	0.63
12/02/2004	0	0.55	10.8	0	7.91	0.69
16/02/2004	0	0.33	8.83	0	10.38	0.58
01/03/2004	0	0.31	6.91	0	3.44	0.43
17/03/2004	0	0.34	8.12	0	4.13	0.45
29/03/2004	0	0.27	6.73	0	3.35	0.44
13/04/2004	0	0.14	1.81	0	1.34	0.36
22/04/2004	0	0	0.07	0	0.79	0.26
26/04/2004	0	0	0.03	0	1.27	0.13
10/05/2004	0	0.05	0.13	0	0.81	0.07
17/05/2004	0	0	0.05	0	0.28	0.03
24/05/2004	0	0	0.04	0	0.64	0.4
02/06/2004	0	0.11	0.17	0	0.46	0.12
07/06/2004	0	0	0	0	0.29	0.15
14/06/2004	0	0.07	0.45	0	1.07	0.21
21/06/2004	0	0.06	0.08	0	0.94	0.14
30/06/2004	0	0	0.04	0	0.24	0
06/07/2004	0	0	0	0	0.21	0.04
12/07/2004	0	0.07	0.33	0	0.89	0.22
21/07/2004	0	0	0.03	0	0.22	0.05
02/08/2004	0	0	0.03	0	0.48	0
09/08/2004	0	0	0	0	0.78	0
16/08/2004	0	0	0.85	NA	7.15	0.1
25/08/2004	0	0.48	1.96	NA	9.65	0.15
31/08/2004	0	0.04	0.35	NA	0.31	0.1
06/09/2004	0	0	0.41	NA	0.87	0
21/09/2004	0	0.35	3.71	NA	3.14	0.04
27/09/2004	0	0.31	6.07	NA	4.27	0.14
18/10/2004	0	0.77	10.01	NA	13.66	0.23
26/10/2004	0	0.46	10.32	NA	10.3	0.26
01/11/2004	0	0.3	9.28	NA	9.93	0.35
09/11/2004	0	0.16	8.56	NA	7.98	0.3
16/11/2004	0	0.17	10.19	NA	8.93	0.33
23/11/2004	0	0.09	10.86	NA	8.91	0.38
29/11/2004	0	0.12	6.5	0.58	NA	0.98
06/12/2004	0	0.32	14.93	0.65	7.66	0.52
20/12/2004	0	0.07	6.85	0.07	4.35	0.48
19/01/2005	0	0.05	7.55	0	NA	0.36
24/01/2005	0	0.11	9.5	0.19	5.13	0.55
15/02/2005	0	0.13	8.73	0.03	4.68	0.53
04/05/2005	0	0.16	5.53	0.36	7.42	0.35
09/05/2005	0	0.05	0.53	0.14	1.68	0.35
16/05/2005	0	0.04	0.29	0.28	1.42	0.39
01/06/2005	0	0.06	0.4	0.22	5.55	0.8
06/06/2005	0	0.03	0.55	0.09	5.49	0.43
13/06/2005	0	0.03	0.21	0.23	5.39	0.37
20/06/2005	0	0.05	0.39	0.09	4.23	0.34
27/06/2005	0	0.03	0.36	0.11	3.86	0.26
04/07/2005	0	0.04	0.18	0.3	4.85	0.3
11/07/2005	0	0.03	0.12	0.11	3.89	0.24
25/07/2005	0	0.03	0.11	0.29	0.78	0.21
01/08/2005	0	0.04	0.49	2.35	6.27	0.2
15/08/2005	0	0.04	0.5	0.13	2	0.36
30/08/2005	0	0.03	0.32	0.02	2.36	0.23
05/09/2005	0	0.06	0.07	0.03	2.99	0.06
12/09/2005	0	0.02	0.72	0	NA	0.04
19/09/2005	0	0.18	0.89	0	NA	0.04
26/09/2005	0	0.4	1.44	0	NA	0.05
03/10/2005	0	0.14	1.1	0	NA	0.04
10/10/2005	0	0.19	3.56	0	NA	0.2
17/10/2005	0	0.61	3.05	0	NA	0.15
01/11/2005	0	0.62	NA	0.42	NA	0.43
07/11/2005	0	0.17	5.47	0	NA	0.29
15/11/2005	0	0.22	9.71	0.12	NA	0.38
22/11/2005	0	0.05	6.15	0	NA	0.3
05/12/2005	0	0.2	NA	0.13	NA	0.38
12/12/2005	0	0.05	6.83	0	NA	0.31
19/12/2005	0	0.1	8.35	0	NA	0.32
28/12/2005	0	0.08	6.95	0	NA	NA
16/01/2006	0	0.04	7.38	0.25	NA	0.32
23/01/2006	0	0.03	6.78	0	NA	0.46
02/02/2006	0	0.07	6.51	0.23	2.33	0.2
06/02/2006	0	0.12	8.72	0.28	4.22	1.11
13/02/2006	0	0.13	4.41	0.28	2.24	0.59
21/02/2006	0	0.14	4.55	0.23	2.09	0.43
27/02/2006	0	0.17	5.87	0.23	3.05	0.44
06/03/2006	0	0.24	6.98	0.46	3.44	0.58
15/03/2006	0	0.24	5.59	0.39	2.77	0.53
20/03/2006	0	0.26	5.8	0.69	3.07	0.48
29/03/2006	0	0.23	5.06	0.42	2.11	0.43
03/04/2006	0	0.27	10.12	0.94	3.81	0.55
11/04/2006	0	0.08	0.3	0.48	0.37	0.2
18/04/2006	0	0.02	0.28	0.4	0.23	0.1
04/05/2006	0	0.01	0.32	0.37	0.23	0.13
08/05/2006	0	0.19	4.64	0.58	2.39	0.39
15/05/2006	0	0.1	1.84	0.73	2.94	0.42
23/05/2006	0	0.1	0.91	1.26	1.26	0.38
06/06/2006	0	0.03	0.27	0.57	0.18	0.15
12/06/2006	0	0.01	0.27	0.51	0.14	0.18
20/06/2006	0	0.01	0.35	0.38	0.25	0.16
27/06/2006	0	0.04	0.43	0.53	0.29	0.16
03/07/2006	0	0.12	0.19	0.27	0.5	0.09
17/07/2006	0	0.04	0.16	0.26	0.52	0.13
17/07/2006	0	0.02	0.1	0.27	0.56	0.13
07/08/2006	0	0.05	0.38	0.12	1.45	0.13
14/08/2006	0	0.01	0.16	0.21	2.17	0.2
21/08/2006	0	0.02	0.54	0.39	2.91	0.34
29/08/2006	0	0.24	0.32	1.01	2.39	0.23
29/08/2006	0	0.24	0.38	1.02	2.4	0.23
04/09/2006	0	0.02	0.15	0.34	0.92	0.1
04/09/2006	0	0.03	0.2	0.29	0.93	0.11
12/09/2006	0	0.03	0.2	1.24	2.45	0.2
25/09/2006	0	0.04	0.42	2.95	3.94	0.26
25/09/2006	0	0.04	0.6	4.14	4.08	0.42
03/10/2006	0	0.15	0.76	1.26	7.22	0.23
09/10/2006	0	0.25	1.48	0.72	5.61	0.21
30/10/2006	0	1.25	7.19	0.79	9.47	0.38
06/11/2006	0	0.45	3.24	0.26	3.87	0.33
06/11/2006	0	0.45	3.18	0.29	3.84	0.33
12/12/2006	0	0.04	5.2	0.22	4.57	0.39
12/12/2006	0	0.04	5.19	0.28	4.69	0.39
12/12/2006	0	0.04	5.2	0.22	4.57	0.39
12/12/2006	0	0.04	5.19	0.28	4.69	0.39
15/01/2007	0	0.07	4.12	0.32	3.52	0.4
15/01/2007	0	0.07	4.13	0.33	3.53	0.4
15/01/2007	0	0.06	4.29	0.45	3.51	0.42
15/01/2007	0	0.06	4.42	0.35	3.53	0.41
22/01/2007	0	0.1	NA	0.69	4.14	0.37
22/01/2007	0	0.1	NA	0.66	4.17	0.4
22/01/2007	0	0.08	NA	0.65	4.15	0.4
22/01/2007	0	0.08	NA	0.7	4.19	0.4
29/01/2007	0	0.19	11.4	0.46	5.92	0.41
29/01/2007	0	0.2	11.52	0.36	5.9	0.44
29/01/2007	0	0.18	11.63	0.42	5.89	0.43
29/01/2007	0	0.18	11.59	NA	5.9	0.45
05/02/2007	0	0.14	4.87	0.44	3.94	0.42
05/02/2007	0	0.14	4.9	0.47	4	0.44
05/02/2007	0	0.14	5.35	0.54	3.97	0.44
05/02/2007	0	0.13	5.34	0.54	3.94	0.44
16/02/2007	0	0.25	4.87	0.19	4.07	0.5
16/02/2007	0	0.26	5.19	0.1	4.19	0.52
16/02/2007	0	0.25	5.11	0.16	4.22	0.65
16/02/2007	0	0.25	5.09	0.16	4.18	0.65
20/02/2007	0	0.28	6.6	0.7	4.33	0.48
20/02/2007	0	0.28	6.61	0.7	4.35	0.52
20/02/2007	0	0.27	5.3	0.55	4.42	0.76
20/02/2007	0	0.28	5.38	0.66	4.51	0.77
26/02/2007	0	0.32	7.75	0.16	4.96	0.48
26/02/2007	0	0.33	7.77	0.15	4.98	0.52
26/02/2007	0	0.3	7.77	0.28	5.08	0.49
26/02/2007	0	0.29	7.67	0.2	5.03	0.49
12/03/2007	0	0.29	7.16	0.45	5.46	0.49
12/03/2007	0	0.28	7.08	0.39	5.49	0.49
12/03/2007	0	0.25	7	0.29	5.36	0.41
12/03/2007	0	0.25	7.13	0.36	5.41	0.44
20/03/2007	0	0.23	5.37	0.21	4.35	NA
20/03/2007	0	0.23	5.45	0.2	4.37	NA
20/03/2007	0	0.27	5.94	0.34	4.37	NA
20/03/2007	0	0.27	5.89	0.36	4.34	NA
26/03/2007	0	0.22	5.71	0.24	4.2	0.38
26/03/2007	0	0.22	5.77	0.18	4.25	0.4
26/03/2007	0	0.21	5.87	0.42	4.16	0.4
26/03/2007	0	0.21	5.86	0.42	4.2	0.41
10/04/2007	0	0.18	3.18	0.03	3.91	0.25
10/04/2007	0	0.18	3.32	0.09	4.02	0.29
10/04/2007	0	0.18	3.35	0.4	3.98	0.25
10/04/2007	0	0.18	3.48	0.91	3.98	0.26
16/04/2007	0	0.07	0.98	0.07	3.22	0.1
16/04/2007	0	0.07	1.02	0.16	3.25	0.11
16/04/2007	0	0.06	1.13	0.61	3.33	0.11
16/04/2007	0	0.06	1.23	0.83	3.31	0.11
23/04/2007	0	0.11	1.4	0.03	1.66	0.12
23/04/2007	0	0.11	1.41	0.03	1.66	0.12
23/04/2007	0	0.11	1.42	0.23	1.72	0.14
23/04/2007	0	0.1	1.45	0.2	1.68	0.14
30/04/2007	0	0.06	0.11	0.39	0.7	0.03
30/04/2007	0	0.03	0.11	0.55	0.73	0.04
08/05/2007	0	0.02	0.03	0.22	NA	0.04
08/05/2007	0	0.02	0.03	0.24	NA	0.05
08/05/2007	0	0.02	0.03	0.28	NA	0.05
08/05/2007	0	0.02	0.03	0.29	NA	0.04
21/05/2007	0	0.08	1.13	1.01	NA	0.12
21/05/2007	0	0.08	1.17	1.06	NA	0.13
21/05/2007	0	0.06	0.97	0.93	NA	0.12
21/05/2007	0	0.07	1.06	0.99	NA	0.12
04/06/2007	0	0.05	0.56	0.31	1.02	0.03
04/06/2007	0	0.04	0.53	0.33	1.01	0.03
04/06/2007	0	0.03	0.45	0.26	1.03	0.03
04/06/2007	0	0.04	0.44	0.23	1.06	0.03
11/06/2007	0	0.06	2.14	0.39	0.61	0.05
11/06/2007	0	0.06	2.13	0.4	0.58	0.052
11/06/2007	0	NA	1.32	0.18	0.68	0.035
11/06/2007	0	NA	1.71	0.24	0.61	0.042
18/06/2007	0	0.02	0.03	0.03	0.33	0.04
18/06/2007	0	0.02	0.03	0.03	0.34	0.04
18/06/2007	0	0.02	0.04	0.03	0.34	0.04
18/06/2007	0	0.02	0.04	0.03	0.34	0.04
25/06/2007	0	0.02	0.04	0.08	0.3	0.03
25/06/2007	0	0.02	0.05	0.11	0.34	0.03
25/06/2007	0	0.02	0.09	0.46	0.27	0.03
25/06/2007	0	0.02	0.07	0.4	0.26	0.03
03/07/2007	0	0.02	0.03	0.03	0.25	0.04
03/07/2007	0	0.02	0.03	0.03	0.21	0.04
03/07/2007	0	0.02	0.06	0.14	0.24	0.03
03/07/2007	0	0.02	0.07	0.18	0.22	0.04
09/07/2007	0	0.03	1.65	0.5	0.32	0.03
09/07/2007	0	0.03	1.22	0.36	0.31	0.03
09/07/2007	0	NA	2.13	0.45	0.31	NA
09/07/2007	0	NA	2.11	0.45	0.3	NA
16/07/2007	0	0.02	0.03	0.03	0.11	0.04
16/07/2007	0	0.02	0.03	0.03	0.11	0.03
16/07/2007	0	NA	NA	NA	NA	NA
16/07/2007	0	NA	NA	NA	NA	NA
23/07/2007	0	0.02	0.03	0.03	NA	0.03
23/07/2007	0	0.02	0.03	NA	NA	0.03
23/07/2007	0	NA	NA	NA	NA	NA
23/07/2007	0	NA	NA	NA	NA	NA
30/07/2007	0	0.02	0.03	0.81	0.93	0.03
30/07/2007	0	0.02	0.03	0.8	0.94	0.03
30/07/2007	0	NA	NA	NA	NA	NA
30/07/2007	0	NA	NA	NA	NA	NA
06/08/2007	0	0.02	0.09	0.24	1.39	0.03
06/08/2007	0	0.02	0.11	0.21	1.34	0.03
06/08/2007	0	0.02	0.27	0.4	1.34	0.03
06/08/2007	0	NA	NA	NA	NA	NA
13/08/2007	0	0.05	0.22	0.28	1.94	0.03
13/08/2007	0	0.07	0.21	0.26	1.88	0.03
13/08/2007	0	NA	NA	NA	NA	NA
13/08/2007	0	NA	NA	NA	NA	NA
20/08/2007	0	0.37	1.59	0.25	2.87	0.13
20/08/2007	0	0.37	1.6	0.27	2.9	0.13
20/08/2007	0	0.39	1.64	0.28	2.92	0.11
20/08/2007	0	0.38	1.69	0.26	2.93	0.12
28/08/2007	0	0.05	0.11	0.2	2.55	0.04
28/08/2007	0	0.05	0.11	0.19	2.56	0.04
28/08/2007	0	0.04	0.12	0.23	2.57	0.03
