date	diatoms	microcms	gncms	sncms	microzoo
05/10/1992	2.8076824347	0.7357163154	0.2028391375	0.0776213516	0.2896291778
12/10/1992	4.1254083431	0.2114095947	0.1507348579	0.06315953	2.4173933077
26/10/1992	3.5188303929	0.6052128317	0.1633030865	0.1450962176	0.5646459178
03/11/1992	4.9493162752	0.416775994	0.3130557228	0.1365611459	2.3880279536
10/11/1992	2.77514784	0.4943487178	0.1831991557	0.0776691518	0.194143226
04/12/1992	1.3008718822	0.1023323264	0.1164462391	2.2145058723	0.1873196421
08/12/1992	1.9365703274	0.0699107359	0.1446160179	0.6813864222	0.6635806882
04/01/1993	1.1414001117	0.0571191951	0.0116446239	0	0.1873196421
18/01/1993	0.6503155604	0.0571191951	0.2375441099	1.5331194501	0.0290002315
25/01/1993	0.8020772488	0.0503133938	0.047742958	0	0.1873196421
01/02/1993	0.4608828184	0.144929301	0.1585162469	0.4769704956	1.0217435024
08/02/1993	0.312023688	0.042626265	0.1519525711	1.1072529362	0.5618147708
15/02/1993	1.1772178874	0.4672974134	0.0652098939	1.1072529362	0.2197320327
22/02/1993	1.4799030812	0.6122724642	0.2379495349	2.9043788129	1.3517024754
01/03/1993	1.1458624194	0.3249256883	0.8701954062	1.3627728445	1.9985636069
08/03/1993	0.8163535152	0.2464789596	0.1679052657	0.8176637067	0.497227259
15/03/1993	0.3599017527	0.0281129939	3.9230941295	1.1072529362	0.7407640393
22/03/1993	5.773544674	0.0570771943	0.409788651	1.771924042	0.5566857357
13/04/1993	33.4822147613	0.0247088134	1.256814472	5.7552133944	2.9286823706
19/04/1993	61.9775882756	0.8523459659	0.4303955594	6.3514265139	5.0332999407
26/04/1993	17.8969273013	0.4907633976	0.6283541659	4.6947903689	2.8426426207
04/05/1993	3.7648387336	1.2439828522	0.5798921083	8.0149107006	0.6167789939
10/05/1993	20.5142307537	2.5976592459	0.3842725891	1.3642697019	1.4101587252
18/05/1993	29.4052344077	6.8628615084	0.6758441058	3.2627268841	0.9962736558
02/06/1993	0.454544424	8.9085468449	0.4279515087	3.9946399103	4.8869283212
08/06/1993	3.0358817717	9.0654805898	0.3570344288	0.3235969265	0.426760078
14/06/1993	1.1081292323	15.6484378397	2.7928468998	9.2244838645	2.1746096389
21/06/1993	23.2221006288	3.1690466421	1.3270316006	1.9224147693	3.7207732336
28/06/1993	2.7011560771	53.6517629755	0.8612466441	0.4088318533	1.6188772949
05/07/1993	11.2501216305	457.9519416393	0.6184356699	0.5026253953	4.3328318346
12/07/1993	4.884879735	195.6992276431	0.1129528519	0	0.1959693568
19/07/1993	9.404809832	184.0824941327	0.0360983341	0	0.4004591203
26/07/1993	10.9409931172	0.0247088134	0.1397354869	0.4088318533	0.3832889989
02/08/1993	17.6171576578	29.8465843511	0.7337174466	0.2725545689	0.1022448818
12/08/1993	28.4357182568	0.4818054577	0.4890742043	0	0.1873196421
19/08/1993	21.1524137816	1.9865696276	0.8500575455	0.5451091378	0.6233875656
23/08/1993	24.7349371376	7.8650979605	0.0710322059	0.5451091378	0.5884159814
31/08/1993	12.6912959755	2.5191475053	0.3252347859	2.2996791751	2.7775045022
06/09/1993	14.498691124	2.1135565718	0.1587549601	2.7425187255	0.195819137
27/09/1993	46.4523000853	5.3589771304	0.8110502559	1.3711081039	2.63316894
07/10/1993	25.9065522612	0.7064824957	0.0954859161	0.5109165686	0.4036395157
11/10/1993	11.185313125	4.1229197888	0.595757509	0	2.8108977137
19/10/1993	4.1552032171	0.8124150115	0.0950946567	0.8180725386	0.987260227
01/11/1993	1.0458343852	0.3424184457	0.1010380728	0	0.1856848525
08/11/1993	0.9071697479	0.3217265677	0.066580461	0.1704317789	0.1609308784
15/11/1993	2.9753871161	0.5425071736	0.0772644086	0.443122625	0.6493320084
30/11/1993	1.426836394	1.274694712	0.0579483064	0.1704317789	1.1089197417
06/12/1993	2.1369629402	0.5451756941	0.0549765984	0.0681727115	0.1392636394
14/12/1993	1.2386782991	0.0984739251	0.0445756203	0.0048308505	0
04/01/1994	2.8786539801	0.2227131142	0.057569306	0.0874961137	0.1833992844
17/01/1994	2.0108819122	0.2786196227	0.0475473284	0.6476407597	0.3393254717
31/01/1994	0.6936509279	0.0668669559	0.2927091741	0.0582406085	0.2514053414
07/02/1994	3.058366935	0.0565532626	0.6168596162	0.1604870048	0.1975910249
15/02/1994	3.8567585612	0.0674345999	0.1496758446	0.0386468043	0.1375369007
23/02/1994	0.8669071474	0.0959089449	0.136461582	0.1800934799	0.0464212131
28/02/1994	0.3476342801	0.5015809876	0.1675280908	0.442041017	0.3982478793
11/03/1994	0.9099981126	0.028474345	0.157283439	0.0193234022	0.0928424263
14/03/1994	2.7744511568	0.0142371725	0.283525858	0.0971578148	0.466545564
21/03/1994	3.0378403614	0.0854230351	0.324047941	1.0322523743	0.0928424263
29/03/1994	2.2129275666	0	1.1831847914	2.4821211109	0.3218617568
11/04/1994	0.6023418573	0.0287256717	0.4429575719	0.4761273728	0.8355818363
18/04/1994	11.9158480841	0.2187615194	0.6151584528	3.3178946395	0.4727925542
26/04/1994	36.6182982421	0.120935737	0.9567569106	18.949741437	2.917938358
04/05/1994	150.4101568467	0.4265844972	0.5747597476	0.7301562682	19.0008630798
10/05/1994	17.3710921923	1.1583346601	0.5707702218	1.6329973147	22.7922024363
16/05/1994	10.5235652302	3.7727213831	0.9853676016	1.5056360866	6.959726295
23/05/1994	4.5684106974	1.2891648995	0.2213222982	0.6690965141	5.2646017605
01/06/1994	25.4862562531	0.6014053941	0.3504203653	0.532751091	3.6582497582
06/06/1994	18.0820358188	1.523023154	1.0114951284	1.4661489689	3.035972142
13/06/1994	37.1874745852	1.0472920061	2.3787582605	1.3191653701	1.0528907879
20/06/1994	5.4720587541	1.2879911951	0.8027676417	5.7352085102	9.2725433934
27/06/1994	12.0034096014	1.6187368111	0.273397138	2.2299559222	2.0563712348
04/07/1994	17.3602529303	10.7543733481	0.8405688053	4.7780654343	1.2910345246
14/07/1994	15.7506079232	11.7688028924	1.6649247129	9.7472427218	5.2753355087
19/07/1994	7.1284279072	59.8094449916	3.5095008246	23.0111552913	30.1043426215
01/08/1994	3.6600510784	214.0612002589	1.9932694057	18.9988680919	7.0797791479
08/08/1994	3.4701434744	423.4818647294	1.0407960788	28.266657875	1.87992891
15/08/1994	11.8010160924	107.3855946665	0.5883981884	13.0945710595	4.8051290432
22/08/1994	8.2270513619	13.9850831058	1.2271604804	9.1600092077	0.5526193257
30/08/1994	21.469864511	1.2339693653	0.4073800725	0.6979083662	2.2775816237
05/09/1994	2.322711161	2.2823324746	0.4995912426	39.5550492224	2.2064900826
12/09/1994	2.2407892582	0.985983443	0.6593759161	3.2038664107	0.5460359528
19/09/1994	3.7780554173	1.0348433388	0.4472608542	7.5170836844	1.0689038982
26/09/1994	6.825599409	0.7160555552	0.1901893134	1.7008931983	0.3669344732
12/06/1995	29.0738256937	2.1697763976	2.0850554648	3.3923003547	4.1075576582
19/06/1995	54.0187796961	11.8951225031	3.1748337215	6.8659230954	6.7146791109
26/06/1995	15.0506529392	5.323930116	0.6410280206	2.216545365	2.2126137132
03/07/1995	51.3388071474	5.4819286578	2.037071177	3.4629775749	1.0640374034
07/07/1995	17.7264543262	7.2929588161	2.4843657339	1.0241885591	0.1856848525
17/07/1995	5.6679001891	4.9882575323	0.4098545258	14.685822647	2.8863553169
24/07/1995	3.1512372695	151.4719364443	0.7868977872	0.3699632759	3.2668473421
07/08/1995	2.855617461	121.2016675844	1.3183492752	0.5643010732	1.1718728446
14/08/1995	8.182479465	25.4682364378	0.5409260476	1.1987868683	0.0721692855
21/08/1995	1.7781630095	7.0824464589	0.5594567883	0.9631610759	4.4371900493
29/08/1995	8.7005019227	2.345265553	0.9427542604	0.184981638	4.6649347421
04/09/1995	9.5240017474	2.8898039752	1.6096916777	0	3.7147284115
11/09/1995	5.9372333136	1.5104403786	1.7507100773	0.1363454231	0
18/09/1995	2.2033999613	1.4218967443	1.075351129	0.2726908462	0.194691349
27/09/1995	4.9773706435	1.5640401602	0.7704045402	3.2722901542	0.1995652422
02/10/1995	8.2383883716	1.5349848386	0.8019539909	0.7944227043	0
09/10/1995	27.6283031441	0.5975177171	1.0483042802	0	1.0358522538
16/10/1995	8.6343833105	4.3526686802	1.1903041825	4.4939909219	0.2828174902
23/10/1995	8.9830271226	1.1043903074	0.5415059495	1.4579080256	0
30/10/1995	4.7542276289	0.407478021	0.1544082265	0.5249766822	0.371369705
06/11/1995	1.9710564214	0.19472232	0.2345840478	0.1749922274	0.1266028969
13/11/1995	5.2267944449	0.4841193049	0.2004395532	0.0314824559	0.1812496207
22/11/1995	6.3508788719	0.6258370914	0.0816918229	0	0.4394581572
04/12/1995	2.4136691949	0.1308195218	0.0861192373	0	0.2813315261
11/12/1995	3.3085557854	0.2123918225	0.0980060694	0.0193234022	0.1266028969
10/01/1996	2.2458025878	0.0527025281	0.0222878102	0.1022590673	0.082942955
15/01/1996	2.5340864453	0.2605707066	0.0820759468	0.1749922274	0.1942652754
23/01/1996	4.1997384982	0.1588984394	0.0297170802	0	1.3715198634
30/01/1996	2.6921874431	0	0.1440373961	0.1363454231	0.0498913106
06/02/1996	2.4349927162	0.0142371725	0.1531107046	0	0.4864307262
19/02/1996	1.4486806902	0.0388607831	0.2109309743	0.0193234022	0.6319247674
26/02/1996	1.0793960224	0.3218973462	0.1950446728	0.443122625	0.343971392
05/03/1996	0.1447194917	0.1429816042	0.4751115116	0.1363454231	0.0971326377
11/03/1996	0.8021335083	0.1429816042	0.5607241762	0.6817271155	0.4450666519
19/03/1996	0.7881637609	0.0864881937	0.1069814888	0.5453816924	0.0680884522
25/03/1996	0.5325328544	0.05694869	0.0891512407	0.2726908462	0
01/04/1996	0.4033257161	0.1584280361	0.1485854011	0	0.1328882172
11/04/1996	0.3154169251	0	0.8627083749	1.659998064	0.1942652754
16/04/1996	0.0327174925	0.1949298735	1.6791802998	1.2271088078	0.0971326377
22/04/1996	0.4564344535	0.4276632248	3.9612562826	6.368506473	0.2913979131
29/04/1996	2.9131160944	0.6258214753	3.2701019681	7.1833341875	1.0070819565
07/05/1996	7.7972871577	0	0.1518131826	15.6206718411	0.0357555795
13/05/1996	2.125149712	0	0.0356604963	25.3739300407	0
20/05/1996	4.4846708056	0.1149026866	0.3155131973	34.3249602634	0.2929515911
29/05/1996	14.3340444389	0.0246236106	0.1783024813	19.2214598319	0.2913979131
04/06/1996	32.6400990257	0	0.0475473284	2.999599308	0.2271582415
10/06/1996	29.2219467016	0.3554169209	0.2213018047	1.7958362305	8.0205229846
17/06/1996	2.3987480097	1.4079174424	0.5111337798	1.2997939676	2.4382386372
24/06/1996	14.3052756066	0.2694090129	0.1485854011	1.2997939676	4.2897486134
02/07/1996	16.0435530728	0.9897229203	0.1485854011	1.1024362499	2.7383918324
08/07/1996	11.7889622715	2.8292622165	0.5928557504	1.1401028141	2.1813372748
15/07/1996	16.3951071008	1.6377343151	0.3968358158	1.1517756793	5.7024510157
22/07/1996	13.6794774564	13.3559144968	0.3887697283	3.5943204298	1.8881187272
29/07/1996	26.531204838	9.0004285763	0.1749068477	4.7597769138	0.6388945499
